This file was created to fix the data used in the second year transfer report for 2d chisquare test, E>300keV, subrange fit

epsilon_31,fit (summed): chisq,reduced chisq,dof,sensitivity (1d single): chisq,reduced chisq,dof,sensitivity (2d single): chisq,reduced chisq,dof
0.1,0.837089,0.0363952,23,5.85926,1.46481,4,5.94152,0.495127,12
0.106,0.797315,0.0346659,23,5.58081,1.3952,4,5.65917,0.471598,12
0.112,0.758639,0.0329843,23,5.31006,1.32751,4,5.38462,0.448718,12
0.118,0.721051,0.03135,23,5.04692,1.26173,4,5.11778,0.426482,12
0.124,0.684539,0.0297626,23,4.79132,1.19783,4,4.8586,0.404883,12
0.13,0.649094,0.0282215,23,4.5432,1.1358,4,4.60699,0.383916,12
0.136,0.614706,0.0267264,23,4.30247,1.07562,4,4.36288,0.363573,12
0.142,0.581365,0.0252767,23,4.06907,1.01727,4,4.12621,0.343851,12
0.148,0.54906,0.0238722,23,3.84294,0.960734,4,3.8969,0.324741,12
0.154,0.517782,0.0225123,23,3.62399,0.905997,4,3.67487,0.30624,12
0.16,0.487521,0.0211966,23,3.41216,0.853041,4,3.46008,0.28834,12
0.166,0.458268,0.0199247,23,3.20739,0.801849,4,3.25243,0.271036,12
0.172,0.430012,0.0186962,23,3.00961,0.752403,4,3.05187,0.254323,12
0.178,0.402746,0.0175107,23,2.81875,0.704688,4,2.85833,0.238194,12
0.184,0.376458,0.0163677,23,2.63475,0.658686,4,2.67174,0.222645,12
0.19,0.35114,0.0152669,23,2.45753,0.614383,4,2.49204,0.20767,12
0.196,0.326782,0.0142079,23,2.28704,0.571761,4,2.31916,0.193263,12
0.202,0.303377,0.0131903,23,2.12322,0.530804,4,2.15303,0.179419,12
0.208,0.280913,0.0122136,23,1.96599,0.491497,4,1.9936,0.166133,12
0.214,0.259384,0.0112776,23,1.8153,0.453824,4,1.84079,0.153399,12
0.22,0.238779,0.0103817,23,1.67108,0.41777,4,1.69455,0.141212,12
0.226,0.21909,0.00952565,23,1.53328,0.383319,4,1.55481,0.129567,12
0.232,0.200309,0.00870907,23,1.40183,0.350456,4,1.42151,0.118459,12
0.238,0.182426,0.00793156,23,1.27667,0.319167,4,1.2946,0.107883,12
0.244,0.165434,0.00719277,23,1.15774,0.289435,4,1.174,0.0978332,12
0.25,0.149323,0.00649231,23,1.04499,0.261247,4,1.05966,0.0883052,12
0.256,0.134086,0.00582984,23,0.938349,0.234587,4,0.951527,0.0792939,12
0.262,0.119715,0.00520498,23,0.837769,0.209442,4,0.849534,0.0707945,12
0.268,0.1062,0.0046174,23,0.743188,0.185797,4,0.753625,0.0628021,12
0.274,0.0935347,0.00406673,23,0.65455,0.163637,4,0.663742,0.0553118,12
0.28,0.0817102,0.00355262,23,0.571798,0.14295,4,0.579829,0.048319,12
0.286,0.0707189,0.00307473,23,0.494878,0.123719,4,0.501828,0.041819,12
0.292,0.0605527,0.00263273,23,0.423733,0.105933,4,0.429684,0.035807,12
0.298,0.0512039,0.00222626,23,0.35831,0.0895775,4,0.363342,0.0302785,12
0.304,0.0426649,0.00185499,23,0.298554,0.0746384,4,0.302747,0.0252289,12
0.31,0.0349278,0.0015186,23,0.244411,0.0611027,4,0.247843,0.0206536,12
0.316,0.0279853,0.00121675,23,0.195828,0.048957,4,0.198578,0.0165482,12
0.322,0.0218297,0.00094912,23,0.152753,0.0381883,4,0.154899,0.0129082,12
0.328,0.0164538,0.000715381,23,0.115134,0.0287835,4,0.116751,0.00972924,12
0.334,0.01185,0.000515216,23,0.0829185,0.0207296,4,0.0840831,0.00700693,12
